name,party,twitter_name,# of followers
Jefferson Van Drew,(D),CongressmanJVD,37541
Debbie Wasserman Schultz,(D),DWStweets,37113
Debbie Lesko (R),(R),RepDLesko,36939
Greg Stanton (D),(D),RepGregStanton,36763
F. James Sensenbrenner,(R),JimPressOffice,36450
Michael Cloud (R),(R),RepCloudTX,36412
Jamie Raskin (D),(D),RepRaskin,36406
TJ Cox (D),(D),RepTjCox,36186
Gilbert Ray Cisneros,(D),RepGilCisneros,36175
Adam B. Schiff,(D),RepAdamSchiff,36169
Mark Meadows (R),(R),RepMarkMeadows,36133
Tim Walberg (R),(R),RepWalberg,35988
Larry Bucshon (R),(R),RepLarryBucshon,35870
Terri A. Sewell,(D),RepTerriSewell,35515
Grace F. Napolitano,(D),gracenapolitano,35460
Diana DeGette (D),(D),RepDianaDeGette,35234
John R. Carter,(R),JudgeCarter,35219
Ra��l M. Grijalva,(D,RepRaulGrijalva,3
Sharice Davids (D),(D),RepDavids,34937
Bill Flores (R),(R),RepBillFlores,34809
A. Drew Ferguson,(R),RepDrewFerguson,34712
Fred Upton (R),(R),RepFredUpton,34311
Barry Loudermilk (R),(R),RepLoudermilk,34300
William R. Keating,(D),USRepKeating,34088
Ed Perlmutter (D),(D),RepPerlmutter,33997
Nydia M. Vel��zquez,(D,NydiaVelazquez,3
Lee Zeldin (R),(R),RepLeeZeldin,33329
Rick Larsen (D),(D),RepRickLarsen,33281
Mac Thornberry (R),(R),MacTXPress,32669
Nancy Pelosi (D),(D),SpeakerPelosi,32514
Rob Woodall (R),(R),RepRobWoodall,32428
Glenn Grothman (R),(R),RepGrothman,32380
Emanuel Cleaver (D),(D),repcleaver,32375
Jeff Duncan (R),(R),RepJeffDuncan,32268
David Scott (D),(D),repdavidscott,32127
Bill Foster (D),(D),RepBillFoster,31915
Alex Mooney (R),(R),RepAlexMooney,31757
Bill Johnson (R),(R),RepBillJohnson,31325
Ted Yoho (R),(R),TedYoho,31309
John W. Rose,(R),RepJohnRose,31278
Yvette D. Clarke,(D),RepYvetteClarke,31269
Juan Vargas (D),(D),RepJuanVargas,31224
Louie Gohmert (R),(R),replouiegohmert,31203
Peter A. DeFazio,(D),RepPeterDeFazio,31053
George Holding (R),(R),RepHolding,30880
Matt Gaetz (R),(R),mattgaetz,30860
Mark E. Amodei,(R),MarkAmodeiNV2,30823
